"Betriebsname","Strasse","Nr.","Kreis","PLZ","Ort","Oeffnungszeit","Betriebsart","Status","X","Y"
"Razzia-Kultur","Seefeldstrasse ",82,8,8008,"Zürich","0100/Frei befr. bis 31.05.2015","Veranstaltungsraum","Offen",684079.999,246143.013
"James Joyce Pub","Pelikanstrasse",8,1,8001,"Zürich","0200 / frei","Gastwirtschaft","Offen",682963.772,247398.963
"Andorra","Münstergasse",20,1,8001,"Zürich","0200 Uhr","Gastwirtschaft","Offen",683509.967,247303.098
"Cheyenne","Querstrasse",3,11,8050,"Zürich","0200 Uhr","Gastwirtschaft","Offen",683557.544,251599.748
"Desperado","Limmattalstrasse",215,10,8049,"Zürich","0200 Uhr","Gastwirtschaft","Offen",679900.109,250673.417
"Hotel Central Plaza","Central",1,1,8001,"Zürich","0200 Uhr","Gastwirtschaft","Offen",683455.245,247949.397
"Kronenhalle","Rämistrasse",4,1,8001,"Zürich","0200 Uhr","Gastwirtschaft","Offen",683622.321,246891.653
"Marriott Hotel","Neumühlequai",42,6,8006,"Zürich","0200 Uhr","Gastwirtschaft","Offen",683195.776,248549.382
"Santa Lucia","Marktgasse",21,1,8001,"Zürich","0200 Uhr","Gastwirtschaft","Offen",683463.897,247406.187
"Schweizerhof","Bahnhofplatz",7,1,8001,"Zürich","0200 Uhr","Gastwirtschaft","Offen",683131.053,247927.119
"Singapore","Badenerstrasse",530,9,8048,"Zürich","0200 Uhr","Gastwirtschaft","Offen",680175.05,248566.499
"Spaghetti Factory","Niederdorfstrasse",5,1,8001,"Zürich","0200 Uhr","Gastwirtschaft","Offen",683454.861,247482.892
"Tasca Romero","Niederdorfstrasse",37,1,8001,"Zürich","0200 Uhr","Gastwirtschaft","Offen",683457.934,247703.181
"Widder","Rennweg",7,1,8001,"Zürich","0200 Uhr","Gastwirtschaft","Offen",683166.968,247432.381
"Marquee Club","Weinbergstrasse",68,6,8006,"Zürich","0200/0400","Gastwirtschaft","Offen",683457.972,248573.976
"Mexikano (EG) ","Niederdorfstrasse",13,1,8001,"Zürich","0200/0400","Gastwirtschaft","Offen",683451.02,247537.052
"Tank-Grill & Bar","Stüssihofstatt",15,1,8001,"Zürich","0200/0400","Gastwirtschaft","Offen",683437.4,247431.218
"Bonnie Prince Pub","Zähringerstrasse",38,1,8001,"Zürich","0200/0400 Uhr","Gastwirtschaft","Offen",683531.875,247832.627
"Brasserie Louis ","Niederdorfstrasse",10,1,8001,"Zürich","0200/0400 Uhr","Gastwirtschaft","Offen",683474.258,247491.726
"Desperado","Birmensdorferstrasse",129,3,8003,"Zürich","0200/0400 Uhr","Gastwirtschaft","Offen",681732.615,247119.136
"El Lokal","Gessnerallee",11,1,8001,"Zürich","0200/0400 Uhr","Gastwirtschaft","Offen",682717.747,247664.385
"First Bar","Schneggengasse",8,1,8001,"Zürich","0200/0400 Uhr","Gastwirtschaft","Offen",683421.39,247420.168
"Five Spice Thai","Zweierstrasse",106,3,8003,"Zürich","0200/0400 Uhr","Gastwirtschaft","Offen",681784.14,247337.529
"Hotel Restaurant Helvetia","Stauffacherquai",1,4,8004,"Zürich","0200/0400 Uhr","Gastwirtschaft","Offen",682552.386,247501.713
"Kino Xenix","Kanzleistrasse",52,4,8004,"Zürich","0200/0400 Uhr","Gastwirtschaft","Offen",682129.787,247726.192
"Manesse","Manessestrasse",28,3,8003,"Zürich","0200/0400 Uhr","Gastwirtschaft","Offen",682019.708,247016.087
"Mc Donald's","Mühlegasse",14,1,8001,"Zürich","0200/0400 Uhr","Gastwirtschaft","Offen",683489.431,247616.755
"Movie","Bahnhofquai",7,1,8001,"Zürich","0200/0400 Uhr","Gastwirtschaft","Offen",683289.643,247857.522
"News","Bahnhofplatz",2,1,8001,"Zürich","0200/0400 Uhr","Gastwirtschaft","Offen",683237.474,247916.463
"Odéon","Limmatquai",2,1,8001,"Zürich","0200/0400 Uhr","Gastwirtschaft","Offen",683582.014,246917.94
"Quartierhaus Kreis 5","Sihlquai",115,5,8005,"Zürich","0200/0400 Uhr","Gastwirtschaft","Offen",682750.781,248755.651
"Splendid","Rosengasse",5,1,8001,"Zürich","0200/0400 Uhr","Gastwirtschaft","Offen",683427.382,247521.172
